id,eng,ita,difficulty
67,Police / Criminal,Polizia / Criminale,40
68,Judge / Lawyer,Giudice / Avvocato,35
69,Lawyer / Client,Avvocato / Cliente,25
70,Cowboy / Indian,Cowboy / Indiano,40
71,Convict / Police,Detenuto / Polizia,40
72,Hostage / Criminal,Ostaggio / Criminale,50
73,High School Sweethearts,Fidanzatini del liceo,25
74,Artist / Muse,Artista / Musa,35
75,Band Members,Membri della band,25
76,Former Band Members,Ex membri della band,30
77,Bartender / Regular Customer,Barista / Cliente abituale,20
78,Step-parent / stepchild,Matrigna/Patrigno / Figliastro/a,30
79,Love Triangle,Triangolo amoroso,45
80,First Engagement,Primo fidanzamento,25
81,Priest / Sinner,Prete / Peccatore,40
82,PC / User,PC / Utente,15
83,Blood Cell / Bacteria,Globulo Bianco / Batterio,60
84,Robot / It's creator,Robot / Suo creatore,50
85,Ventriloquist / Doll,Ventriloquo / Bambola,45
86,Angel / Devil,Angelo / Diavolo,60
87,Conscience / Person,Coscienza / Persona,50
88,Astronaut / Alien,Astronauta / Alieno,70
89,Pilot / Steward/ess,Pilota / Assistente di volo,30
90,Veterinarian / Pet owner,Veterinario / Proprietario di animale domestico,20
91,Cosmetic Surgeon / Customer,Chirurgo estetico / Cliente,30
92,Guru / Disciple,Guru / Discepolo,40
93,Kung Fu Master / Monk,Maestro di Kung Fu / Monaco,40
94,Tailor / Customer,Sarto / Cliente,20
95,Waiter / Guest,Cameriere / Ospite,15
96,Auto Mechanic / Car Owner,Meccanico / Proprietario di auto,20
97,Librarian / Reader,Bibliotecario / Lettore,15
98,Time Traveler / Historical Figure,Viaggiatore del tempo / Personaggio storico,65
99,Ghost / Medium,Fantasma / Medium,55
100,Sculptor / Model,Scultore / Modello,30
101,Detective / Witness,Detective / Testimone,35
102,Magician / Assistant,Mago / Assistente,40
103,Queen / Jester,Regina / Giullare,45
104,Conductor / Musician,Direttore d'orchestra / Musicista,35
105,Photographer / Subject,Fotografo / Soggetto,25
106,Hypnotist / Patient,Ipnotista / Paziente,50
107,Film Director / Actor,Regista / Attore,40
108,Mime / Street Performer,Mimo / Artista di strada,45
109,Zookeeper / Animal,Guardiano dello zoo / Animale,35
110,Fortune Teller / Client,Indovino / Cliente,30
111,God / Mortal,Dio / Mortale,70
112,Past Self / Future Self,Sé Passato / Sé Futuro,65
113,Memory / Nightmare,Memoria / Incubo,60
114,Life / Death,Vita / Morte,70
115,Sun / Moon,Sole / Luna,55
116,Hero / Inner Demon,Eroe / Demone Interiore,65
117,Reality / Dream,Realtà / Sogno,60
118,Light / Shadow,Luce / Ombra,55
119,Time / Space,Tempo / Spazio,70
120,Creator / Creation,Creatore / Creazione,65
121,Order / Chaos,Ordine / Caos,60
122,Truth / Lie,Verità / Bugia,55
123,Wisdom / Ignorance,Saggezza / Ignoranza,65
124,Nature / Technology,Natura / Tecnologia,60
125,Mind / Body,Mente / Corpo,65
